ITEM: TIMESTEP
420
ITEM: NUMBER OF ATOMS
 109
ITEM: BOX BOUNDS pp pp pp
-0.8155899987 10.0289963
-0.8155899987 10.0289963
-0.8155899987 10.0289963
ITEM: ATOMS x y z type
-0.0401320093762 -0.0210099003167 0.013373794195 2
1.9646917141 1.8706447431 -0.0304394755134 2
1.86575412706 -0.0480884080633 1.95096507683 2
-0.0684534356986 1.95944162555 1.96104338725 2
-0.0241579967563 -0.046373111417 3.84714157487 2
1.87064871151 2.02781300689 3.84045927597 2
1.97065054563 -0.0957161825381 5.79492299062 2
0.109315869289 1.97095461097 5.75341478944 2
-0.0181357079536 -0.0425427021386 7.73716717208 2
1.91812754733 1.91923476437 7.75155919215 2
1.89134415335 -0.128885728069 9.57614764116 2
0.0303727971947 1.85019263493 9.64177908038 2
-0.0661743906948 3.87024920139 -0.0246875552044 2
1.97957350718 5.78440569734 -0.0337664478271 2
1.88977384465 3.82922945954 1.81944303871 2
0.0245725651582 5.82133983922 1.86911894489 2
0.0186827809601 3.98763065603 3.91893248672 2
1.93574162528 5.81564181526 3.86946043751 2
1.90726194103 3.93260252443 5.78576517916 2
-0.0741037533893 5.87543210297 5.88060138013 2
-0.0568972354517 3.84342477484 7.74012623474 2
1.98483708377 5.8367399941 7.68898357137 2
1.93072266268 3.89228972307 9.6749107582 2
-0.0261785647573 5.81619909271 9.58865749498 2
0.0802452121169 7.65133388127 -0.00381932188891 2
1.94675515568 9.6583591038 -0.0115847044367 2
2.02111440885 7.6840221281 1.94380490885 2
-0.0780337724705 9.6047770887 1.92923005629 2
0.0652788989782 7.75178356399 3.83019117477 2
1.93368830187 9.67866144902 3.89441215172 2
1.93994108531 7.77638448249 5.81804718826 2
-0.068357194846 9.73293829112 5.8281696879 2
0.0543556934296 7.76114467581 7.73163411851 2
1.98221389877 9.6385525094 7.70437621563 2
1.94899644397 7.72977729547 9.67708907264 2
-0.0572414111328 9.6336070324 9.62417080834 2
3.91990925698 0.0416633307086 0.0710052990117 2
5.86822127597 1.95829018408 -0.0694932947823 2
5.83644048263 0.0659102907873 1.90953061651 2
3.87016598945 1.95576092518 2.02115389091 2
3.86801270602 0.0973082667385 3.92846912668 2
5.75772038514 1.92379394854 3.88429866158 2
5.82086280667 -0.0152302129399 5.80897314557 2
3.75502628944 2.00042119977 5.74449259005 2
3.91976248152 -0.020518163375 7.75049424079 2
5.71165448224 1.92219031299 7.68321229033 2
5.82658007004 0.028293739348 9.64712059819 2
3.81465389063 1.83600423536 9.72081799957 2
3.90934963074 3.85467121875 0.0184826134381 2
5.75851062193 5.81675138424 0.0337814116548 2
5.83669331579 3.80907342624 1.95695027793 2
3.93000463645 5.802669135 1.86892622813 2
3.88605597777 3.94497864437 3.87180339193 2
5.9039609748 5.77403985347 3.85855200464 2
5.79129151679 3.80733967168 5.84071484286 2
3.89285295268 5.80532545184 5.87472658713 2
3.87724218663 3.8656132473 7.90270551771 2
5.81169164804 5.77688750008 7.83094925265 2
5.74701694885 3.89797661615 9.73208783495 2
3.8486820334 5.82564877813 9.60205643575 2
3.89095257698 7.81219031541 -0.0331177737648 2
5.83520473282 9.68412118566 0.00561119932554 2
5.76327698995 7.69425505012 1.96949140107 2
3.86721377443 9.72030196769 1.92177733848 2
3.886053652 7.71751369399 3.81783419162 2
5.78141845982 9.75952525372 3.9086325192 2
5.82083464814 7.71735844986 5.7866439242 2
3.93027834126 9.60568249859 5.74772502479 2
3.90687062415 7.72304263266 7.72758367871 2
5.76267316147 9.66656708886 7.76598279566 2
5.85009356939 7.78739451117 9.68833228949 2
3.88965922461 9.75078976081 9.61723660965 2
7.72470582007 -0.0642611433297 0.0475799161287 2
9.5500072466 1.91521912911 -0.00692985284561 2
9.61222646432 0.0207478517002 1.9888596189 2
7.72351132571 1.9043265766 1.99986290024 2
7.72918185158 -0.0406658043024 3.87850128597 2
9.71326223226 1.97547676861 3.91999613577 2
9.72007302572 0.0837506286527 5.87627498196 2
7.62904471512 1.91417108359 5.85089187501 2
7.72357117917 -0.0451263028447 7.73289115529 2
9.62649912154 1.9002460956 7.75695783059 2
9.66825966484 -0.0155085298891 9.69304063422 2
7.79222983451 1.90267302576 9.64339889898 2
7.71404735151 3.94893809121 0.0508680675213 2
9.62376971316 5.78636601066 -0.0457372575867 2
9.72359163957 3.79712708754 1.94103424485 2
7.69108891695 5.81361003912 1.8776182892 2
7.75538518683 3.82889129886 3.89072478165 2
9.71588000431 5.82176774007 3.75725234494 2
9.73608962201 3.85722557314 5.81361940397 2
7.7288656135 5.83927569794 5.80432755327 2
7.723740035 3.8739129623 7.7470920328 2
9.65855345002 5.86716636573 7.7892977097 2
9.66385165982 3.86628754916 9.63355028114 2
7.7212126081 5.76690675561 9.73659047632 2
7.67243130953 7.80196465104 0.0625826007071 2
9.65737129167 9.60836532235 0.0022356207738 2
9.76013444113 7.66579309748 1.90574480097 2
7.72976162531 9.63254818519 1.99011817316 2
7.74083121863 7.73671681876 3.8833364984 2
9.70709672624 9.65852937831 3.89060246432 2
9.66276786225 7.71120910347 5.75680307601 2
7.70036613643 9.71784719971 5.82045784292 2
7.69547482887 7.80886332493 7.84782248939 2
9.65432167049 9.66832674854 7.74437847519 2
9.67615906862 7.74739735981 9.62508008959 2
7.7373194392 9.67255132156 9.71761527974 2
1.97599951476 0.165060737533 -0.212115565363 1
