ITEM: TIMESTEP
351
ITEM: NUMBER OF ATOMS
 109
ITEM: BOX BOUNDS pp pp pp
-0.8155899987 10.0289963
-0.8155899987 10.0289963
-0.8155899987 10.0289963
ITEM: ATOMS x y z type
-0.0364522443667 0.029818193677 0.0143747575546 2
2.00245224627 1.9521905452 -0.00128492315235 2
1.93038498439 -0.101430583286 1.94313146406 2
0.0914997130947 1.94941741636 1.91408371768 2
-0.000732351129551 0.0736430897995 3.80986215374 2
1.93021278609 1.98366867731 3.92415620746 2
1.85156187839 -0.00588478043761 5.84773816981 2
3.67969741846e-05 1.90768203807 5.82094695642 2
-0.0206751072445 0.0121711335389 7.70894302837 2
2.01976535378 1.950392711 7.6905521608 2
1.88820428332 0.00284611305225 9.67292033409 2
0.0415447801959 2.01512499023 9.68817010366 2
0.0171296995921 3.99365831596 0.0167652813907 2
1.96215218613 5.83051539086 0.0335382634168 2
1.87966917613 3.90569977214 1.90545850257 2
-0.122618951422 5.80896549312 2.01966079017 2
-0.0349695491071 3.82532504361 3.87711317484 2
1.86934070071 5.77125001545 3.89697094535 2
1.90713972933 3.89461221513 5.82051219386 2
0.0195631182403 5.83052509443 5.8983134913 2
-0.0150045818376 3.85943209386 7.78379576398 2
1.95987512233 5.77125712459 7.78246217192 2
1.90967094734 3.91120618185 9.62592532966 2
-0.0416941319999 5.79202155735 9.6130948157 2
-0.00631208493782 7.72632206644 -0.0360452964491 2
1.91904651971 9.61217343517 0.0814055261266 2
1.85992189188 7.63017255807 1.99705700713 2
-0.0146343563945 9.66450316328 1.93464048254 2
-0.0827641859443 7.64310444025 3.95876139138 2
1.94722710804 9.70628458449 3.88945833164 2
1.91797538222 7.76244778809 5.80709200772 2
-0.0640279527588 9.61023910059 5.76697711412 2
0.00134589492608 7.75202504634 7.74299474685 2
2.01307934298 9.67547057116 7.77881987362 2
1.89294499611 7.71914402305 9.65613029418 2
-0.0517253527424 9.75602408684 9.65100368992 2
3.87963998182 0.051485577805 -0.0359840683892 2
5.8624066378 1.93429483121 0.0221245976891 2
5.8272214578 0.00501761235359 1.88505112404 2
3.82647333569 2.05420377158 1.95631766305 2
3.90889007507 -0.0417210225633 3.79857065225 2
5.85588050642 1.95488351895 3.81683435817 2
5.80937264976 0.00451801844931 5.75534388488 2
3.91641616229 1.8518339273 5.73131706463 2
3.88654868257 0.0210011233171 7.76747252 2
5.7637293044 1.91701636225 7.72166527823 2
5.83866230587 -0.0895187435671 9.63036685305 2
3.85187347811 1.94172409834 9.69716612155 2
3.90750367082 3.92477777444 -0.00697470016464 2
5.84155563578 5.78112667189 0.0246141500637 2
5.80189593451 3.82979089572 1.8975664607 2
3.87006351326 5.77174238782 1.95740831289 2
3.87112518839 3.90718813729 3.90610228608 2
5.74356896494 5.82553888591 3.81166349837 2
5.7893590062 3.79720293401 5.72927211985 2
3.87142662083 5.76980191926 5.82782481039 2
3.92448046582 3.82159175034 7.66354512884 2
5.80889695727 5.80666253383 7.76833704215 2
5.8259314439 3.87026170233 9.66710654679 2
3.91852180068 5.8413295942 9.60892702977 2
3.85833538391 7.65944025832 0.0148081345716 2
5.78003126675 9.58861397728 0.00691384455693 2
5.85086888955 7.66566386133 1.84224942059 2
3.9696590005 9.5972817488 2.00963202868 2
3.75207886219 7.6879067401 3.89597311237 2
5.86065238845 9.69066753592 3.91015054465 2
5.77287167925 7.66700862471 5.80100469482 2
3.9272047638 9.69143183412 5.84399910056 2
3.80198644774 7.7029475962 7.67789025857 2
5.76602179374 9.67666612928 7.71239244695 2
5.82795953261 7.70376212995 9.62972857307 2
3.80191938962 9.64091540748 9.70654728058 2
7.78599765246 0.00831741359559 0.0547621710119 2
9.64834207416 2.01895405342 0.0773079594831 2
9.69640707148 0.0838935364622 1.90348005343 2
7.73252423065 1.89241016412 1.96546548856 2
7.69539704346 -0.0779014344022 3.83492034157 2
9.67646710017 1.99474990612 3.85903630767 2
9.65539949386 0.0641411005631 5.7881226063 2
7.79294628736 1.94984163103 5.71820845933 2
7.72032488127 0.0385585048368 7.70152459039 2
9.67646456998 1.95892648627 7.80660901975 2
9.60020608135 0.00879514412389 9.6137159931 2
7.73006059457 1.91357372056 9.62975928657 2
7.76225608902 3.9172395672 0.00914622403704 2
9.67337390414 5.89222360286 -0.0408892202939 2
9.65714728182 3.88047344801 1.99413334527 2
7.75431396649 5.83229770903 1.93777491063 2
7.75518962786 3.93805278846 3.79662252696 2
9.6150833829 5.78912789326 3.94115434535 2
9.75120679063 3.78916804057 5.81723078874 2
7.7031199421 5.71884463037 5.93803388839 2
7.71312437065 3.8671376768 7.80206523484 2
9.64838774144 5.74829157391 7.66755039225 2
9.6930675932 3.89293996268 9.67620590067 2
7.73665921442 5.84470355421 9.73896367071 2
7.77512278811 7.77621816943 0.0570370562316 2
9.63596925778 9.640655959 -0.042908384827 2
9.75073360083 7.68794822884 2.01308922837 2
7.80574303461 9.51420044049 1.99828487129 2
7.63501613059 7.75996678268 3.88256508758 2
9.69344019813 9.74568385827 3.90824815529 2
9.67166399661 7.74566171655 5.76485059436 2
7.76846631371 9.70189533512 5.84803171148 2
7.71908260658 7.79196409076 7.72117308124 2
9.66326899452 9.7012129008 7.72859440414 2
9.68257240777 7.68190386054 9.58873109698 2
7.70875016401 9.72457562621 9.7300430814 2
2.17702517647 0.344998528232 0.168719855776 1
